"d" "date" "P" "ETpot" "Qobs" "fXG" "fXS" "hSmin" "Gobs" "ETact" "Q" "fVG" "fGS" "fQS" "dSM" "dSMeq" "dG" "hS" "hQ" "W"
1320102000 20111031230000 NA NA NA NA NA 0 0 NA 0.0094 NA NA NA 211.02 211.02 1156.3 93.05 0 0.3559
1320105600 20111101000000 0 0 0.0094 0 0 0 0 0 0.0094 0 0.0172 0 211.03 211.02 1156.3 93.83 0 0.3559
1320109200 20111101010000 0 0 0.0094 0 0 0 0 0 0.0095 -0.0835 0.0172 0 211.05 211.04 1156.39 94.59 0 0.3558
1320112800 20111101020000 0 0 0.0094 0 0 0 0 0 0.0097 -0.0616 0.0171 0 211.07 211.05 1156.45 95.34 0 0.3557
1320116400 20111101030000 0 0 0.0094 0 0 0 0 0 0.0098 -0.067 0.0171 0 211.08 211.07 1156.52 96.06 0 0.3556
1320120000 20111101040000 0 0 0.0094 0 0 0 0 0 0.0099 -0.0653 0.017 0 211.1 211.09 1156.58 96.77 0 0.3556
1320123600 20111101050000 0 0 0.0094 0 0 0 0 0 0.0101 -0.0655 0.0169 0 211.12 211.11 1156.65 97.46 0 0.3555
1320127200 20111101060000 0 0.0047 0.0094 0 0 0 0 0.0046 0.0102 -0.0652 0.0169 0 211.14 211.12 1156.71 98.12 0 0.3554
1320130800 20111101070000 0 0.0441 0.0094 0 0 0 0 0.0431 0.0103 -0.087 0.0168 0 211.2 211.15 1156.8 98.73 0 0.3552
1320134400 20111101080000 0 0.1024 0.0094 0 0 0 0 0.1001 0.0104 -0.266 0.0168 0 211.32 211.22 1157.07 99.26 0 0.3547
1320138000 20111101090000 0 0.134 0.0094 0 0 0 0 0.131 0.0105 -0.4929 0.0167 0 211.47 211.34 1157.57 99.75 0 0.354
1320141600 20111101100000 0 0.197 0.0094 0 0 0 0 0.1926 0.0106 -0.582 0.0166 0 211.68 211.5 1158.16 100.15 0 0.3532
1320145200 20111101110000 0 0.1938 0.0094 0 0 0 0 0.1895 0.0107 -0.8539 0.0165 0 211.88 211.72 1159.02 100.54 0 0.3523
1320148800 20111101120000 0 0.1828 0.0094 0 0 0 0 0.1787 0.0108 -0.7677 0.0164 0 212.08 211.92 1159.79 100.92 0 0.3515
1320152400 20111101130000 0 0.1466 0.0094 0 0 0 0 0.1433 0.0108 -0.7376 0.0163 0 212.24 212.12 1160.54 101.32 0 0.3508
1320156000 20111101140000 0 0.0804 0.0089 0 0 0 0 0.0786 0.0109 -0.5748 0.0162 0 212.33 212.27 1161.12 101.77 0 0.3504
1320159600 20111101150000 0 0.0142 0.0089 0 0 0 0 0.0139 0.011 -0.306 0.0161 0 212.36 212.35 1161.43 102.26 0 0.3503
1320163200 20111101160000 0 0 0.0089 0 0 0 0 0 0.0111 -0.0649 0.016 0 212.38 212.36 1161.49 102.75 0 0.3502
1320166800 20111101170000 0 0 0.0094 0 0 0 0 0 0.0112 -0.0607 0.016 0 212.39 212.38 1161.56 103.23 0 0.3501
1320170400 20111101180000 0 0 0.0089 0 0 0 0 0 0.0113 -0.0616 0.0159 0 212.41 212.4 1161.62 103.7 0 0.3501
1320174000 20111101190000 0 0 0.0089 0 0 0 0 0 0.0114 -0.0612 0.0159 0 212.43 212.41 1161.68 104.15 0 0.35
1320177600 20111101200000 0 0 0.0089 0 0 0 0 0 0.0114 -0.0611 0.0158 0 212.44 212.43 1161.74 104.59 0 0.3499
1320181200 20111101210000 0.3 0 0.0089 0 0 0 0 0 0.0115 -0.0609 0.0158 0 212.26 212.44 1161.8 105.32 0.1 0.3507
1320184800 20111101220000 0.2 0 0.0094 0 0 0 0 0 0.0117 0.8752 0.0158 0.032 212.15 212.22 1160.92 109.13 0.14 0.3512
1320188400 20111101230000 0 0 0.0094 0 0 0 0 0 0.0124 0.3192 0.0156 0.0436 212.16 212.13 1160.6 113.8 0.1 0.3511
1320192000 20111102000000 0 0 0.0089 0 0 0 0 0 0.0134 -0.1586 0.0153 0.0301 212.18 212.17 1160.76 117.01 0.07 0.351
1320195600 20111102010000 0 0 0.0089 0 0 0 0 0 0.014 -0.033 0.0151 0.0208 212.2 212.18 1160.79 119.2 0.05 0.351
1320199200 20111102020000 0 0 0.0089 0 0 0 0 0 0.0145 -0.0645 0.0149 0.0144 212.21 212.2 1160.85 120.68 0.03 0.3509
1320202800 20111102030000 0 0 0.0089 0 0 0 0 0 0.0148 -0.0556 0.0148 0.01 212.23 212.21 1160.91 121.68 0.02 0.3508
1320206400 20111102040000 0 0 0.0089 0 0 0 0 0 0.015 -0.0574 0.0147 0.0069 212.24 212.23 1160.97 122.34 0.02 0.3508
1320210000 20111102050000 0 0 0.0089 0 0 0 0 0 0.0152 -0.0566 0.0147 0.0048 212.25 212.24 1161.03 122.77 0.01 0.3507
1320213600 20111102060000 0 0.0014 0.0089 0 0 0 0 0.0014 0.0153 -0.0565 0.0147 0.0033 212.27 212.26 1161.08 123.03 0.01 0.3506
1320217200 20111102070000 0 0.0159 0.0089 0 0 0 0 0.0155 0.0153 -0.0629 0.0146 0.0023 212.3 212.27 1161.15 123.18 0.01 0.3505
1320220800 20111102080000 0 0.0405 0.0089 0 0 0 0 0.0396 0.0154 -0.1291 0.0146 0.0016 212.36 212.31 1161.28 123.22 0 0.3503
1320224400 20111102090000 0 0.1027 0.0089 0 0 0 0 0.1004 0.0154 -0.2272 0.0146 0.0011 212.47 212.37 1161.51 123.15 0 0.3498
1320228000 20111102100000 0 0.146 0.0089 0 0 0 0 0.1427 0.0154 -0.4933 0.0146 0.0008 212.63 212.5 1162 123 0 0.3491
1320231600 20111102110000 0 0.1142 0.0083 0 0 0 0 0.1116 0.0153 -0.6269 0.0145 0.0005 212.75 212.66 1162.64 122.85 0 0.3486
1320235200 20111102120000 0 0.1099 0.0083 0 0 0 0 0.1074 0.0153 -0.4427 0.0145 0.0004 212.88 212.78 1163.09 122.7 0 0.3481
1320238800 20111102130000 0 0.0405 0.0089 0 0 0 0 0.0396 0.0153 -0.4701 0.0144 0.0003 212.93 212.9 1163.56 122.6 0 0.3479
1320242400 20111102140000 0 0.0188 0.0089 0 0 0 0 0.0184 0.0152 -0.1373 0.0144 0.0002 212.96 212.94 1163.7 122.51 0 0.3477
1320246000 20111102150000 0 0.0101 0.0089 0 0 0 0 0.0099 0.0152 -0.1221 0.0144 0.0001 212.99 212.97 1163.82 122.43 0 0.3476
1320249600 20111102160000 0 0 0.0089 0 0 0 0 0 0.0152 -0.0852 0.0144 0.0001 213 212.99 1163.91 122.35 0 0.3476
1320253200 20111102170000 0 0 0.0089 0 0 0 0 0 0.0152 -0.0474 0.0144 0.0001 213.02 213 1163.96 122.28 0 0.3475
1320256800 20111102180000 0 0 0.0089 0 0 0 0 0 0.0152 -0.0573 0.0144 0 213.03 213.02 1164.01 122.2 0 0.3474
1320260400 20111102190000 0 0 0.0094 0 0 0 0 0 0.0152 -0.0547 0.0144 0 213.05 213.03 1164.07 122.12 0 0.3474
1320264000 20111102200000 0 0 0.0094 0 0 0 0 0 0.0151 -0.0554 0.0144 0 213.06 213.05 1164.13 122.05 0 0.3473
1320267600 20111102210000 0 0 0.0094 0 0 0 0 0 0.0151 -0.0552 0.0144 0 213.07 213.06 1164.18 121.97 0 0.3473
1320271200 20111102220000 0 0 0.0094 0 0 0 0 0 0.0151 -0.0552 0.0144 0 213.09 213.08 1164.24 121.9 0 0.3472
1320274800 20111102230000 0 0 0.0094 0 0 0 0 0 0.0151 -0.0552 0.0144 0 213.1 213.09 1164.29 121.82 0 0.3471
1320278400 20111103000000 0 0 0.0094 0 0 0 0 0 0.0151 -0.0552 0.0144 0 213.12 213.11 1164.35 121.75 0 0.3471
1320282000 20111103010000 0 0 0.0094 0 0 0 0 0 0.0151 -0.0552 0.0144 0 213.13 213.12 1164.4 121.68 0 0.347
1320285600 20111103020000 0 0 0.0094 0 0 0 0 0 0.015 -0.0552 0.0144 0 213.15 213.14 1164.46 121.61 0 0.347
1320289200 20111103030000 0 0 0.0094 0 0 0 0 0 0.015 -0.0552 0.0144 0 213.16 213.15 1164.52 121.55 0 0.3469
1320292800 20111103040000 0 0 0.0094 0 0 0 0 0 0.015 -0.0552 0.0144 0 213.18 213.16 1164.57 121.48 0 0.3468
1320296400 20111103050000 0 0 0.0094 0 0 0 0 0 0.015 -0.0552 0.0144 0 213.19 213.18 1164.63 121.42 0 0.3468
1320300000 20111103060000 0 0.0015 0.0094 0 0 0 0 0.0015 0.015 -0.0552 0.0144 0 213.21 213.19 1164.68 121.35 0 0.3467
1320303600 20111103070000 0 0.0231 0.0094 0 0 0 0 0.0226 0.015 -0.0622 0.0143 0 213.24 213.21 1164.75 121.27 0 0.3466
1320307200 20111103080000 0 0.0633 0.0094 0 0 0 0 0.0618 0.015 -0.1616 0.0143 0 213.32 213.25 1164.91 121.14 0 0.3462
1320310800 20111103090000 0 0.0988 0.0094 0 0 0 0 0.0965 0.0149 -0.3241 0.0143 0 213.43 213.34 1165.24 120.98 0 0.3458
1320314400 20111103100000 0 0.0926 0.0094 0 0 0 0 0.0905 0.0149 -0.448 0.0143 0 213.54 213.46 1165.69 120.83 0 0.3453
1320318000 20111103110000 0 0.0864 0.0094 0 0 0 0 0.0844 0.0149 -0.3864 0.0143 0 213.63 213.56 1166.08 120.69 0 0.3449
1320321600 20111103120000 0 0.0602 0.0094 0 0 0 0 0.0588 0.0148 -0.3732 0.0142 0 213.71 213.66 1166.46 120.57 0 0.3446
1320325200 20111103130000 0 0.0509 0.0094 0 0 0 0 0.0497 0.0148 -0.2536 0.0142 0 213.77 213.72 1166.71 120.46 0 0.3443
1320328800 20111103140000 0 0.0185 0.0089 0 0 0 0 0.0181 0.0148 -0.2411 0.0142 0 213.8 213.79 1166.96 120.38 0 0.3442
1320332400 20111103150000 0 0.0046 0.0094 0 0 0 0 0.0045 0.0148 -0.0924 0.0142 0 213.82 213.81 1167.05 120.32 0 0.3441
1320336000 20111103160000 0 0 0.0089 0 0 0 0 0 0.0147 -0.0661 0.0142 0 213.84 213.83 1167.12 120.26 0 0.3441
1320339600 20111103170000 0 0 0.0089 0 0 0 0 0 0.0147 -0.0514 0.0142 0 213.85 213.84 1167.17 120.2 0 0.344
1320343200 20111103180000 0 0 0.0094 0 0 0 0 0 0.0147 -0.0552 0.0142 0 213.87 213.85 1167.22 120.14 0 0.3439
1320346800 20111103190000 0 0 0.0089 0 0 0 0 0 0.0147 -0.0542 0.0142 0 213.88 213.87 1167.28 120.09 0 0.3439
1320350400 20111103200000 0 0 0.0089 0 0 0 0 0 0.0147 -0.0544 0.0141 0 213.89 213.88 1167.33 120.03 0 0.3438
1320354000 20111103210000 0 0 0.0089 0 0 0 0 0 0.0147 -0.0544 0.0141 0 213.91 213.9 1167.39 119.98 0 0.3438
1320357600 20111103220000 0 0 0.0089 0 0 0 0 0 0.0147 -0.0544 0.0141 0 213.92 213.91 1167.44 119.92 0 0.3437
1320361200 20111103230000 0 0 0.0089 0 0 0 0 0 0.0147 -0.0544 0.0141 0 213.94 213.93 1167.5 119.87 0 0.3436
1320364800 20111104000000 0 0 0.0089 0 0 0 0 0 0.0147 -0.0543 0.0141 0 213.95 213.94 1167.55 119.82 0 0.3436
1320368400 20111104010000 0 0 0.0083 0 0 0 0 0 0.0146 -0.0543 0.0141 0 213.97 213.95 1167.61 119.77 0 0.3435
1320372000 20111104020000 0.2 0 0.0083 0 0 0 0 0 0.0146 -0.0543 0.0141 0 213.85 213.97 1167.66 119.92 0.07 0.344
1320375600 20111104030000 0.3 0 0.0089 0 0 0 0 0 0.0147 0.5758 0.0141 0.021 213.67 213.82 1167.08 122.26 0.15 0.3448
1320379200 20111104040000 0 0 0.0089 0 0 0 0 0 0.0152 0.7254 0.014 0.046 213.68 213.63 1166.35 126.75 0.1 0.3447
1320382800 20111104050000 0 0 0.0089 0 0 0 0 0 0.0162 -0.2577 0.0138 0.0318 213.69 213.69 1166.61 129.69 0.07 0.3447
1320386400 20111104060000 0 0.0016 0.0083 0 0 0 0 0.0016 0.0168 0.0004 0.0136 0.022 213.71 213.69 1166.61 131.57 0.05 0.3446
1320390000 20111104070000 0 0.034 0.0089 0 0 0 0 0.0332 0.0173 -0.0735 0.0135 0.0152 213.76 213.71 1166.68 132.67 0.03 0.3444
1320393600 20111104080000 0 0.0663 0.0083 0 0 0 0 0.0648 0.0175 -0.2054 0.0134 0.0105 213.84 213.77 1166.89 133.24 0.02 0.3441
1320397200 20111104090000 0 0.1327 0.0083 0 0 0 0 0.1296 0.0177 -0.3219 0.0133 0.0073 213.98 213.85 1167.21 133.4 0.02 0.3435
1320400800 20111104100000 0 0.2039 0.0083 0 0 0 0 0.1991 0.0177 -0.6022 0.0133 0.005 214.19 214.01 1167.82 133.26 0.01 0.3426
1320404400 20111104110000 0 0.2136 0.0078 0 0 0 0 0.2086 0.0177 -0.8622 0.0132 0.0035 214.41 214.24 1168.69 132.95 0.01 0.3416
1320408000 20111104120000 0 0.1926 0.0078 0 0 0 0 0.1881 0.0176 -0.8391 0.0131 0.0024 214.61 214.46 1169.54 132.55 0.01 0.3408
1320411600 20111104130000 0 0.0987 0.0078 0 0 0 0 0.0964 0.0175 -0.7461 0.0131 0.0017 214.72 214.65 1170.3 132.17 0 0.3403
1320415200 20111104140000 0 0.0453 0.0078 0 0 0 0 0.0442 0.0174 -0.3301 0.013 0.0012 214.78 214.74 1170.63 131.8 0 0.3401
1320418800 20111104150000 0 0.0113 0.0078 0 0 0 0 0.011 0.0173 -0.1887 0.013 0.0008 214.8 214.79 1170.82 131.44 0 0.34
1320422400 20111104160000 0 0 0.0078 0 0 0 0 0 0.0173 -0.0665 0.013 0.0006 214.82 214.81 1170.89 131.07 0 0.34
1320426000 20111104170000 0 0 0.0078 0 0 0 0 0 0.0172 -0.0457 0.013 0.0004 214.83 214.82 1170.93 130.7 0 0.3399
1320429600 20111104180000 0 0 0.0078 0 0 0 0 0 0.0171 -0.0512 0.0131 0.0003 214.84 214.83 1170.98 130.32 0 0.3398
1320433200 20111104190000 0 0 0.0078 0 0 0 0 0 0.017 -0.0498 0.0131 0.0002 214.86 214.85 1171.03 129.95 0 0.3398
1320436800 20111104200000 0 0 0.0078 0 0 0 0 0 0.0169 -0.0503 0.0131 0.0001 214.87 214.86 1171.09 129.58 0 0.3397
1320440400 20111104210000 0 0 0.0078 0 0 0 0 0 0.0168 -0.0503 0.0131 0.0001 214.88 214.87 1171.14 129.22 0 0.3397
1320444000 20111104220000 0 0 0.0078 0 0 0 0 0 0.0167 -0.0504 0.0131 0.0001 214.9 214.89 1171.19 128.86 0 0.3396
1320447600 20111104230000 0 0 0.0078 0 0 0 0 0 0.0167 -0.0504 0.0131 0 214.91 214.9 1171.24 128.52 0 0.3396
1320451200 20111105000000 0 0 0.0072 0 0 0 0 0 0.0166 -0.0505 0.0132 0 214.92 214.91 1171.29 128.18 0 0.3395
1320454800 20111105010000 0 0 0.0072 0 0 0 0 0 0.0165 -0.0506 0.0132 0 214.94 214.93 1171.34 127.85 0 0.3395
1320458400 20111105020000 0 0 0.0072 0 0 0 0 0 0.0164 -0.0506 0.0132 0 214.95 214.94 1171.39 127.53 0 0.3394
1320462000 20111105030000 0 0 0.0072 0 0 0 0 0 0.0164 -0.0507 0.0132 0 214.96 214.95 1171.44 127.22 0 0.3393
1320465600 20111105040000 0 0 0.0072 0 0 0 0 0 0.0163 -0.0508 0.0132 0 214.98 214.97 1171.49 126.91 0 0.3393
1320469200 20111105050000 0 0 0.0072 0 0 0 0 0 0.0162 -0.0508 0.0132 0 214.99 214.98 1171.55 126.62 0 0.3392
1320472800 20111105060000 0 0.0015 0.0072 0 0 0 0 0.0015 0.0161 -0.0509 0.0133 0 215.01 214.99 1171.6 126.33 0 0.3392
1320476400 20111105070000 0 0.0262 0.0072 0 0 0 0 0.0256 0.0161 -0.0579 0.0133 0 215.04 215.01 1171.66 126.02 0 0.339
1320480000 20111105080000 0 0.0724 0.0072 0 0 0 0 0.0707 0.016 -0.1718 0.0133 0 215.13 215.05 1171.83 125.67 0 0.3387
1320483600 20111105090000 0 0.1249 0.0072 0 0 0 0 0.1219 0.0159 -0.3584 0.0133 0 215.26 215.15 1172.19 125.29 0 0.3381
1320487200 20111105100000 0 0.1249 0.0072 0 0 0 0 0.1219 0.0158 -0.5552 0.0133 0 215.4 215.29 1172.75 124.9 0 0.3375
1320490800 20111105110000 0 0.1418 0.0066 0 0 0 0 0.1384 0.0158 -0.5033 0.0132 0 215.55 215.43 1173.26 124.51 0 0.3369
1320494400 20111105120000 0 0.1356 0.0066 0 0 0 0 0.1323 0.0157 -0.5958 0.0132 0 215.7 215.58 1173.86 124.13 0 0.3363
1320498000 20111105130000 0 0.1171 0.0066 0 0 0 0 0.1143 0.0156 -0.5422 0.0132 0 215.82 215.73 1174.41 123.77 0 0.3358
1320501600 20111105140000 0 0.0416 0.0066 0 0 0 0 0.0406 0.0155 -0.4694 0.0131 0 215.88 215.85 1174.88 123.49 0 0.3355
1320505200 20111105150000 0 0.0139 0.0066 0 0 0 0 0.0136 0.0154 -0.1348 0.0131 0 215.9 215.89 1175.02 123.25 0 0.3354
1320508800 20111105160000 0 0 0.0066 0 0 0 0 0 0.0154 -0.0931 0.0131 0 215.92 215.91 1175.11 123.02 0 0.3354
1320512400 20111105170000 0 0 0.0066 0 0 0 0 0 0.0153 -0.039 0.0131 0 215.93 215.92 1175.15 122.8 0 0.3353
1320516000 20111105180000 0 0 0.0066 0 0 0 0 0 0.0153 -0.0533 0.0131 0 215.94 215.93 1175.21 122.58 0 0.3352
1320519600 20111105190000 0 0 0.0072 0 0 0 0 0 0.0152 -0.0496 0.0131 0 215.96 215.95 1175.26 122.37 0 0.3352
1320523200 20111105200000 0 0 0.0066 0 0 0 0 0 0.0152 -0.0506 0.0131 0 215.97 215.96 1175.31 122.16 0 0.3351
1320526800 20111105210000 0 0 0.0066 0 0 0 0 0 0.0152 -0.0504 0.0132 0 215.98 215.97 1175.36 121.96 0 0.3351
1320530400 20111105220000 0 0 0.0066 0 0 0 0 0 0.0151 -0.0505 0.0132 0 216 215.99 1175.41 121.77 0 0.335
1320534000 20111105230000 0 0 0.0066 0 0 0 0 0 0.0151 -0.0505 0.0132 0 216.01 216 1175.46 121.58 0 0.335
1320537600 20111106000000 0 0 0.0066 0 0 0 0 0 0.015 -0.0505 0.0132 0 216.02 216.01 1175.51 121.39 0 0.3349
1320541200 20111106010000 0 0 0.0066 0 0 0 0 0 0.015 -0.0505 0.0132 0 216.04 216.03 1175.56 121.21 0 0.3349
1320544800 20111106020000 0 0 0.0066 0 0 0 0 0 0.0149 -0.0506 0.0132 0 216.05 216.04 1175.61 121.04 0 0.3348
1320548400 20111106030000 0 0 0.0066 0 0 0 0 0 0.0149 -0.0506 0.0132 0 216.06 216.05 1175.67 120.87 0 0.3347
1320552000 20111106040000 0 0 0.0066 0 0 0 0 0 0.0149 -0.0506 0.0132 0 216.08 216.07 1175.72 120.7 0 0.3347
1320555600 20111106050000 0 0 0.0066 0 0 0 0 0 0.0148 -0.0506 0.0132 0 216.09 216.08 1175.77 120.54 0 0.3346
1320559200 20111106060000 0 0.0013 0.0066 0 0 0 0 0.0013 0.0148 -0.0507 0.0132 0 216.11 216.09 1175.82 120.38 0 0.3346
1320562800 20111106070000 0 0.0133 0.0061 0 0 0 0 0.013 0.0148 -0.0568 0.0132 0 216.13 216.11 1175.88 120.21 0 0.3345
1320566400 20111106080000 0 0.0412 0.0061 0 0 0 0 0.0402 0.0147 -0.1113 0.0132 0 216.19 216.14 1175.99 120.02 0 0.3342
1320570000 20111106090000 0 0.0837 0.0061 0 0 0 0 0.0817 0.0147 -0.2276 0.0132 0 216.28 216.2 1176.22 119.79 0 0.3338
1320573600 20111106100000 0 0.1023 0.0061 0 0 0 0 0.0998 0.0146 -0.3958 0.0132 0 216.39 216.3 1176.62 119.54 0 0.3334
1320577200 20111106110000 0 0.093 0.0061 0 0 0 0 0.0907 0.0146 -0.4384 0.0132 0 216.5 216.42 1177.06 119.31 0 0.3329
1320580800 20111106120000 0 0.0252 0.0061 0 0 0 0 0.0246 0.0145 -0.3835 0.0132 0 216.54 216.52 1177.45 119.15 0 0.3328
1320584400 20111106130000 0 0.0266 0.0061 0 0 0 0 0.0259 0.0145 -0.0804 0.0131 0 216.57 216.54 1177.53 118.98 0 0.3326
1320588000 20111106140000 0 0.0106 0.0061 0 0 0 0 0.0103 0.0145 -0.1669 0.0131 0 216.6 216.58 1177.7 118.84 0 0.3325
1320591600 20111106150000 0 0.0027 0.0055 0 0 0 0 0.0026 0.0144 -0.0692 0.0131 0 216.61 216.6 1177.77 118.7 0 0.3325
1320595200 20111106160000 0 0 0.0061 0 0 0 0 0 0.0144 -0.0579 0.0131 0 216.63 216.62 1177.83 118.57 0 0.3324
1320598800 20111106170000 0 0 0.0055 0 0 0 0 0 0.0144 -0.0483 0.0131 0 216.64 216.63 1177.88 118.45 0 0.3324
1320602400 20111106180000 0 0 0.0061 0 0 0 0 0 0.0143 -0.0508 0.0131 0 216.65 216.64 1177.93 118.33 0 0.3323
1320606000 20111106190000 0 0 0.0055 0 0 0 0 0 0.0143 -0.0502 0.0131 0 216.67 216.66 1177.98 118.21 0 0.3322
1320609600 20111106200000 0 0 0.0055 0 0 0 0 0 0.0143 -0.0504 0.0131 0 216.68 216.67 1178.03 118.09 0 0.3322
1320613200 20111106210000 0 0 0.0055 0 0 0 0 0 0.0143 -0.0503 0.0131 0 216.69 216.68 1178.08 117.98 0 0.3321
1320616800 20111106220000 0 0 0.0055 0 0 0 0 0 0.0142 -0.0503 0.0131 0 216.71 216.7 1178.13 117.86 0 0.3321
1320620400 20111106230000 0 0 0.0055 0 0 0 0 0 0.0142 -0.0504 0.0131 0 216.72 216.71 1178.18 117.76 0 0.332
1320624000 20111107000000 0 0 0.0055 0 0 0 0 0 0.0142 -0.0504 0.0131 0 216.73 216.72 1178.23 117.65 0 0.332
1320627600 20111107010000 0 0 0.0055 0 0 0 0 0 0.0142 -0.0504 0.0131 0 216.75 216.74 1178.28 117.54 0 0.3319
1320631200 20111107020000 0 0 0.0055 0 0 0 0 0 0.0142 -0.0504 0.0131 0 216.76 216.75 1178.33 117.44 0 0.3319
1320634800 20111107030000 0 0 0.0055 0 0 0 0 0 0.0141 -0.0504 0.0131 0 216.77 216.76 1178.38 117.34 0 0.3318
1320638400 20111107040000 0 0 0.0055 0 0 0 0 0 0.0141 -0.0504 0.0131 0 216.79 216.78 1178.44 117.25 0 0.3317
1320642000 20111107050000 0 0 0.0055 0 0 0 0 0 0.0141 -0.0504 0.0131 0 216.8 216.79 1178.49 117.15 0 0.3317
1320645600 20111107060000 0 0 0.0055 0 0 0 0 0 0.0141 -0.0504 0.0131 0 216.81 216.8 1178.54 117.06 0 0.3316
1320649200 20111107070000 0 0.0043 0.0055 0 0 0 0 0.0042 0.0141 -0.0504 0.0131 0 216.83 216.82 1178.59 116.96 0 0.3316
1320652800 20111107080000 0 0.0064 0.0055 0 0 0 0 0.0062 0.014 -0.0705 0.0131 0 216.85 216.83 1178.66 116.87 0 0.3315
1320656400 20111107090000 0 0.0138 0.0055 0 0 0 0 0.0135 0.014 -0.075 0.0131 0 216.88 216.85 1178.74 116.77 0 0.3314
1320660000 20111107100000 0 0.0234 0.0055 0 0 0 0 0.0228 0.014 -0.1084 0.0131 0 216.91 216.88 1178.84 116.66 0 0.3312
1320663600 20111107110000 0 0.0181 0.0055 0 0 0 0 0.0177 0.014 -0.1445 0.0131 0 216.94 216.92 1178.99 116.56 0 0.3311
1320667200 20111107120000 0 0.0138 0.0055 0 0 0 0 0.0135 0.0139 -0.1101 0.0131 0 216.97 216.95 1179.1 116.46 0 0.331
1320670800 20111107130000 0 0.0117 0.0055 0 0 0 0 0.0114 0.0139 -0.0991 0.0131 0 216.99 216.98 1179.2 116.37 0 0.3309
1320674400 20111107140000 0 0.0064 0.0055 0 0 0 0 0.0062 0.0139 -0.0921 0.0131 0 217.01 217 1179.3 116.28 0 0.3308
1320678000 20111107150000 0 0.0021 0.0055 0 0 0 0 0.002 0.0139 -0.0692 0.0131 0 217.03 217.02 1179.36 116.2 0 0.3307
1320681600 20111107160000 0 0 0.0055 0 0 0 0 0 0.0139 -0.0551 0.0131 0 217.04 217.03 1179.42 116.13 0 0.3307
1320685200 20111107170000 0 0 0.0055 0 0 0 0 0 0.0139 -0.049 0.0131 0 217.06 217.05 1179.47 116.05 0 0.3306
1320688800 20111107180000 0 0 0.0055 0 0 0 0 0 0.0138 -0.0506 0.0131 0 217.07 217.06 1179.52 115.98 0 0.3306
1320692400 20111107190000 0 0 0.0055 0 0 0 0 0 0.0138 -0.0502 0.0131 0 217.08 217.07 1179.57 115.91 0 0.3305
1320696000 20111107200000 0 0 0.0055 0 0 0 0 0 0.0138 -0.0503 0.0131 0 217.1 217.09 1179.62 115.84 0 0.3305
1320699600 20111107210000 0 0 0.0055 0 0 0 0 0 0.0138 -0.0502 0.0131 0 217.11 217.1 1179.67 115.77 0 0.3304
1320703200 20111107220000 0 0 0.0055 0 0 0 0 0 0.0138 -0.0502 0.0131 0 217.12 217.11 1179.72 115.7 0 0.3303
1320706800 20111107230000 0 0 0.0055 0 0 0 0 0 0.0138 -0.0502 0.0131 0 217.14 217.13 1179.77 115.64 0 0.3303
1320710400 20111108000000 0 0 0.0055 0 0 0 0 0 0.0138 -0.0502 0.0131 0 217.15 217.14 1179.83 115.57 0 0.3302
1320714000 20111108010000 0 0 0.0055 0 0 0 0 0 0.0137 -0.0502 0.0131 0 217.16 217.15 1179.88 115.51 0 0.3302
1320717600 20111108020000 0 0 0.0055 0 0 0 0 0 0.0137 -0.0502 0.0131 0 217.18 217.16 1179.93 115.45 0 0.3301
1320721200 20111108030000 0 0 0.0055 0 0 0 0 0 0.0137 -0.0502 0.0131 0 217.19 217.18 1179.98 115.38 0 0.3301
1320724800 20111108040000 0 0 0.0055 0 0 0 0 0 0.0137 -0.0502 0.0131 0 217.2 217.19 1180.03 115.32 0 0.33
1320728400 20111108050000 0 0 0.0055 0 0 0 0 0 0.0137 -0.0502 0.0131 0 217.22 217.2 1180.08 115.27 0 0.33
1320732000 20111108060000 0 0.0013 0.0055 0 0 0 0 0.0013 0.0137 -0.0502 0.0131 0 217.23 217.22 1180.13 115.21 0 0.3299
1320735600 20111108070000 0 0.0116 0.0055 0 0 0 0 0.0113 0.0137 -0.0563 0.0131 0 217.25 217.23 1180.19 115.14 0 0.3298
1320739200 20111108080000 0 0.0297 0.0055 0 0 0 0 0.029 0.0136 -0.1028 0.0131 0 217.3 217.26 1180.29 115.05 0 0.3296
1320742800 20111108090000 0 0.0426 0.0055 0 0 0 0 0.0415 0.0136 -0.1752 0.0131 0 217.35 217.31 1180.47 114.96 0 0.3294
1320746400 20111108100000 0 0.0633 0.0055 0 0 0 0 0.0617 0.0136 -0.2163 0.0131 0 217.43 217.36 1180.69 114.84 0 0.3291
1320750000 20111108110000 0 0.0879 0.0055 0 0 0 0 0.0857 0.0136 -0.3022 0.0131 0 217.52 217.44 1180.99 114.7 0 0.3287
1320753600 20111108120000 0 0.1253 0.0055 0 0 0 0 0.1222 0.0136 -0.3944 0.013 0 217.66 217.55 1181.39 114.52 0 0.3281
1320757200 20111108130000 0 0.0904 0.005 0 0 0 0 0.0881 0.0135 -0.5448 0.013 0 217.76 217.69 1181.94 114.38 0 0.3277
1320760800 20111108140000 0 0.0413 0.0055 0 0 0 0 0.0403 0.0135 -0.3414 0.013 0 217.81 217.78 1182.28 114.28 0 0.3275
1320764400 20111108150000 0 0.0065 0.0055 0 0 0 0 0.0063 0.0135 -0.1654 0.0129 0 217.83 217.82 1182.45 114.22 0 0.3274
