month   day     year    Rhine   Meuse   Rietholzbach    Hupsel  
1	5	1989	3520	500	8.72E-02	0.536
2	5	1989	3227	439	7.06E-02	0.449
3	5	1989	2978	339	5.85E-02	0.384
4	5	1989	2752	368	5.05E-02	0.334
5	5	1989	2556	283	4.38E-02	0.293
6	5	1989	2438	271	3.84E-02	0.267
7	5	1989	2307	266	3.74E-02	0.233
8	5	1989	2179	224	3.44E-02	0.22
9	5	1989	2080	207	3.05E-02	0.215
10	5	1989	2008	218	2.77E-02	0.194
11	5	1989	1947	271	4.33E-02	0.187
12	5	1989	1963	386	4.83E-02	0.193
13	5	1989	2047	360	6.61E-02	0.191
14	5	1989	2125	292	6.43E-02	0.169
15	5	1989	2187	287	1.01E-01	0.146
16	5	1989	2158	206	5.83E-02	0.14
17	5	1989	2113	216	4.57E-02	0.135
18	5	1989	2045	170	3.88E-02	0.126
19	5	1989	1993	170	3.36E-02	0.116
20	5	1989	1947	158	3.16E-02	0.109
21	5	1989	1881	183	2.66E-02	0.097
22	5	1989	1813	138	2.42E-02	0.093
23	5	1989	1767	139	2.27E-02	0.087
24	5	1989	1722	113	2.12E-02	0.085
25	5	1989	1681	124	1.91E-02	0.082
26	5	1989	1641	112	1.77E-02	0.072
27	5	1989	1609	112	2.05E-02	0.064
28	5	1989	1577	121	1.54E-02	0.064
29	5	1989	1569	116	7.64E-02	0.063
30	5	1989	1593	87	4.12E-02	0.071
31	5	1989	1604	97	4.39E-02	0.063
1	6	1989	1605	92	3.70E-02	0.066
2	6	1989	1622	89	6.45E-02	0.058
3	6	1989	1684	110	3.03E-02	0.059
4	6	1989	1675	154	6.67E-02	0.072
5	6	1989	1656	145	3.83E-02	0.201
6	6	1989	1725	126	4.51E-02	0.26
7	6	1989	1754	126	3.23E-02	0.293
8	6	1989	1771	133	3.80E-02	0.298
9	6	1989	1749	131	2.83E-02	0.238
10	6	1989	1750	113	2.26E-02	0.195
11	6	1989	1712	141	4.43E-02	0.183
12	6	1989	1656	99	2.25E-02	0.159
13	6	1989	1605	87	1.95E-02	0.119
14	6	1989	1561	72	1.79E-02	0.099
15	6	1989	1508	83	1.63E-02	0.086
16	6	1989	1458	82	1.47E-02	0.075
17	6	1989	1396	73	1.42E-02	0.068
18	6	1989	1344	66	1.22E-02	0.064
19	6	1989	1312	47	1.12E-02	0.061
20	6	1989	1295	58	1.07E-02	0.059
21	6	1989	1268	52	9.91E-03	0.058
